WKT	OBJECTID	FEATURE
"LINESTRING (548218.2280750137 7450974.949480439, 548161.3189722952 7451125.448916083, 547707.4003306482 7452325.430792097, 547464.1306117172 7452915.409225541, 547215.515936261 7453675.884707989, 546579.3903840078 7455223.33477157, 546055.1337719463 7456548.297621664, 545329.9786267952 7457850.915398492, 544729.9803927952 7458719.990239686, 544604.0985330808 7458988.013497982, 544288.0256926202 7459384.026547564, 543960.1001187782 7459958.565059521, 543434.721200396 7460483.587732829, 542832.5856342691 7460900.626525231, 541947.2402001624 7461594.133605072, 540605.4069045776 7462379.641659092, 539960.0693196491 7462707.67802502, 539162.7599053222 7463113.200466163, 538674.3670170226 7463361.716765818, 538293.3545172967 7463510.226331782, 536165.5430325776 7464399.276062292, 535352.9098958756 7464690.278899999, 534018.7205424258 7464952.298724351, 532582.2692631521 7465112.82975474, 531591.3410342024 7465353.352717308, 530947.3128733619 7465956.555588278, 530691.6778214349 7466064.851681566, 528627.678889961 7466655.38084503, 526716.7390268934 7467353.408434741, 524788.1782027187 7468330.930756422, 523304.7387214592 7469312.959195846, 521865.1299155713 7470148.480596444, 520033.0593012212 7471367.480096271, 518549.8197321221 7472380.989525658, 518505.5781024667 7472444.998834195, 517573.9744097722 7473125.013942646, 516155.3168108372 7474354.51174365, 514895.1603115994 7475481.462158941, 513586.045872462 7477009.90240619, 512383.6323438194 7478365.192719016, 511878.1676279628 7478934.82118046, 511298.3393401628 7480026.321231576, 510787.3845514368 7480907.318190285, 510246.7062036713 7482208.808698678, 509870.9113078742 7483420.285416713, 509513.5975033638 7484503.788487565, 509186.2542312584 7485205.77640971, 508744.5726415832 7485933.766682671, 507962.9394678552 7487395.770511257, 507698.8520214251 7488020.779553228, 507535.0899910589 7488352.768441454, 507346.579687172 7488824.779776487, 507038.6210941044 7489590.281118736, 506862.3102029146 7489960.268343797, 506693.3199248874 7490533.769389339, 506417.2578050838 7491318.281426178, 506134.789478971 7492096.278286939, 506019.2299967573 7492550.779851085, 506009.9599912639 7492587.270646449, 505306.7185881146 7493964.268844351, 505159.3889420681 7494252.77716993, 504928.6701988433 7494580.76953129, 504894.1120782016 7494629.769137943, 504453.467381971 7495586.771070279, 504011.8697208729 7496327.771088669, 503550.6392784068 7496953.770195037, 502670.3611782523 7497728.770300493, 501912.1534003938 7498718.757834104, 501514.1296449522 7499307.258026048, 501262.0993637148 7499798.762075929, 501193.3106238475 7500045.759155892, 501130.789612007 7500270.261554886, 500928.6303969356 7500891.772292877, 500855.0168673573 7501118.261530686, 500408.9031094855 7502253.766169501)"	"7344"	"Fault or shear zone, major"
"LINESTRING (560124.945183425 7479717.814294902, 559565.2595907887 7480131.810321418, 558961.6184159865 7480662.810186747, 558506.9443158815 7480932.371391682, 558166.3184156364 7481134.301850479, 557462.7292104106 7481615.291048494, 555890.9781319748 7482756.780634736, 554199.2907369551 7484058.27997833, 553299.0305781432 7484648.280572883, 552461.8693879424 7485130.261249023, 551340.3588373385 7485626.337629113, 551180.0214967473 7485697.249936624, 549901.1319089112 7486170.605126893, 549154.9104151595 7486446.740225282, 547917.2221229632 7486949.728884848, 546577.2602864204 7487345.218131002, 544875.0277861437 7487774.691257522, 543840.3094193287 7488181.178546594, 542571.5123998063 7488831.160668928, 541894.3123511843 7489210.159689635, 541734.6284579235 7489299.55409792, 541239.6398307178 7489576.641609825, 539566.5335692845 7489954.743095838, 538311.2255700084 7490273.624975343, 537771.6127249806 7490461.123313998, 537397.3711462558 7490660.111204296, 537143.2393442522 7490712.60994997, 536190.4407036966 7490947.099784818, 534321.3049298284 7491059.071795085, 533413.0774343542 7491318.567578699, 532258.3325866393 7491872.062288269, 531616.5310359637 7491977.044998595, 530872.6141028183 7492013.049088156, 530002.6940439477 7492272.541349767, 529240.7479810439 7492531.02930639, 528389.7535967929 7492771.532828385, 527475.0433743725 7492999.026841523)"	"7439"	"Fault or shear zone, major"
"LINESTRING (501346.448760454 7506818.776145739, 501829.5920011161 7506503.164141379, 502385.9130002048 7506087.284355456, 502834.8570327766 7505643.797415729, 503436.898378108 7505101.301380255)"	"8910"	"Fault or shear zone"
"LINESTRING (527901.9584975792 7523980.269229011, 528097.6683129231 7523792.356477167, 528323.804812571 7523575.229237707, 528814.8579772227 7523103.739592135, 529365.9377189688 7522648.740934779, 530138.8290126398 7522027.229679191, 530569.4180066623 7521630.233682012, 530974.831219228 7521290.740133534, 531297.7011235673 7520983.249538943, 531480.9635447143 7520734.238452126, 531917.6388713801 7520292.741055975, 532155.8798787082 7520065.750446841, 532538.0443610484 7519770.235373774, 532956.1438343134 7519517.757278616, 533136.4076071326 7519431.251275661)"	"8973"	"Fault or shear zone"
"LINESTRING (523814.8091909168 7500861.501062085, 524403.0688352056 7500914.508251952, 525518.2012575322 7500983.103860432, 526591.3817509152 7501049.0416828, 528009.3800239285 7501104.558906382, 528302.3796234686 7501116.061090371)"	"11445"	"Fault or shear zone"
"LINESTRING (528055.8005487525 7501423.059336577, 529283.5101245476 7501486.06090314, 529735.546288338 7501486.244186529, 530418.7091161757 7501486.495882196, 531172.4107788386 7501486.738344416, 532463.8035782139 7501487.067533884, 532622.2591007367 7501487.100418948)"	"12646"	"Fault or shear zone"
"LINESTRING (520343.178845656 7501712.978961742, 521600.9787950013 7500716.479862278, 522066.4407673655 7500347.99055952, 522262.5892723424 7500072.482112177, 523291.2388393459 7498627.490776381, 523430.9410851992 7498430.979713375, 524119.3216712023 7497642.515167162, 524494.0876216331 7496605.006665763, 524724.6254808855 7495307.987497566, 525272.3578124817 7494039.499616748, 525704.7050444481 7493463.004130416, 526223.5523500639 7492598.513504239, 526718.5994980459 7491736.499324158, 527174.8199988352 7490782.511625465, 527680.8672033168 7490012.509104176, 528289.4594339674 7489080.520819165, 528731.3410245007 7488476.021522343, 528891.7891158635 7488198.021047184, 529097.5478162013 7487841.022147594, 529422.9711645726 7487328.510253867, 529486.5735570787 7487228.240700151, 529610.7180335025 7487032.521789317, 529682.618564802 7486919.515432063, 530172.613997772 7486401.029060342, 530691.4343011096 7485795.528237928)"	"12647"	"Fault or shear zone"
"LINESTRING (509566.7567355191 7514303.344813204, 510217.5261727148 7513415.36494155, 510843.5050658539 7512668.355384296, 511514.1073377882 7511925.371078121, 511585.4849077993 7511823.997813603, 511842.5581280228 7511458.878107471, 512273.4411530715 7511131.88180846, 512504.2234876571 7510989.77199767, 512774.4102743092 7510823.390202988, 513218.3511184064 7510572.888801378, 513494.3086203474 7510473.482240969, 514456.2688433805 7510126.912080837, 514671.179956787 7510075.339552669, 514970.8490300996 7510003.421793655, 515394.9275129607 7509828.845650297, 515762.9211224568 7509734.929779945, 516050.2414914105 7509647.433505684, 517524.0783686196 7509517.960638031, 517746.8603291395 7509496.4685744, 518067.7492261463 7509452.46925718, 518912.7777273635 7509330.469264088, 519307.4402216122 7509273.489978615, 520543.7348397746 7509095.012791169, 521090.5512352326 7509073.010523962)"	"12660"	"Fault or shear zone"
"LINESTRING (504095.7336343682 7512570.303059902, 505625.7454166614 7512027.301031984, 506206.4458015939 7511827.105157044, 506432.0753495833 7511749.312271785, 507441.4509364628 7511374.328017983, 508196.460779174 7511007.840648916, 508791.6682384491 7510463.3499764, 509029.1132643158 7510130.306418766, 509206.249674232 7509881.840685755, 509236.8798053822 7509831.840267447, 509514.9395947641 7509377.852253412, 509593.4922240691 7509249.862772936, 509791.9975160045 7509010.857727492, 510062.5590266488 7508685.349122211, 510093.0782904837 7508648.857326306, 510423.1293482921 7508407.370112345, 510916.8983392117 7508045.880656153, 511817.9555381567 7507627.377420742, 512313.4999449277 7507522.900068942, 512770.7900115862 7507399.409078831, 513462.9393362041 7507185.910552585, 514147.9999066615 7506812.920626515, 514376.3396694898 7506684.420272097, 514710.9014938009 7506357.429269495, 514855.398267887 7506149.941191446, 514948.9805550413 7506013.929416113, 515178.5779770894 7505680.429272604, 515243.8597828858 7505523.4307279, 515694.686183344 7504430.43027069, 515738.8847659868 7504353.440322596, 516394.7128138839 7503210.940093106, 516559.5288458597 7502992.442232464, 516863.057892551 7502589.942326088, 516965.3809619477 7502458.640669763, 516985.4093417867 7502432.939720504, 517381.0303675341 7501996.450458599, 517439.4522652144 7501894.939140924, 517626.9782877809 7501568.438148491, 517873.4395489928 7501235.941138338, 517978.5025881159 7501117.440985388, 518524.9442623953 7500500.441911411, 518815.131402549 7500008.949371014, 518839.3087217496 7499930.939910488, 518912.2703785664 7499695.460613206, 518959.7393457133 7499542.451161015, 519006.42959692 7499391.451385069, 519103.0915856652 7499079.938515905, 519142.3734245101 7498952.950562375, 519198.9088556755 7498812.449021305, 519252.2010176295 7498679.952354822, 519335.6618072438 7498472.439554908, 519782.088446917 7497413.448312007, 520002.3885029421 7496934.941946911, 520209.1083645308 7496271.949922599, 520631.0354485206 7495403.945530902)"	"14378"	"Fault or shear zone"
"LINESTRING (524248.5879006177 7500447.019791603, 523397.800140245 7500183.49101218, 522854.1015355051 7500070.490630239, 522262.5892723424 7500072.482112177)"	"15546"	"Fault or shear zone"
"LINESTRING (515424.9326775875 7509837.918581821, 515394.9275129607 7509828.845650297, 515312.5295609218 7509803.929872453, 514643.1275103203 7509739.409580438, 513973.7312097072 7509588.411545812, 513200.3287176801 7509465.899319883, 513000.7104130245 7509642.400260573, 512769.7070306243 7509843.39902842, 512605.0284527596 7509984.392240064, 511755.8583619048 7510612.881724564, 511419.0307462377 7510844.879789885, 511160.0619621127 7511023.371617679, 510875.4119368167 7511343.371012421, 510486.6901045666 7511824.785264174, 510483.3979119833 7511828.862335017, 509914.561077905 7512557.860235138, 509137.8859379092 7513720.351803415, 508196.4365492957 7514998.328047384)"	"15552"	"Fault or shear zone"
"LINESTRING (509082.5888546698 7500793.861042405, 509754.4994215375 7500338.34911409, 510629.0500703189 7499876.239462561, 511105.6788717026 7499624.357510075, 510719.6186940917 7500020.858529324, 509625.3116076818 7501265.899541479)"	"16767"	"Fault or shear zone"
"LINESTRING (522459.529177895 7512088.520967374, 521710.4899599072 7512392.008338654, 521012.0400450545 7512605.499643788, 520338.6287192465 7512761.992342453, 519646.4217733971 7512962.969492117, 518845.8495111697 7513113.960254174, 518852.3214205384 7513132.958801113, 518681.6004059641 7513163.460244864, 517568.7786567149 7513362.440888902, 516323.2255353271 7513547.422167042)"	"16769"	"Fault or shear zone"
